Year,Year ending,Police Region,Local Government Area,Incidents Recorded,"Rate per 100,000 population",LGA,LGATRIM
2020,December,1 North West Metro, Hobsons Bay,"4,489","4,721.8", HOBSONS BAY,Hobsons Bay
2020,December,1 North West Metro, Hume,"16,142","6,635.9", HUME,Hume
2020,December,1 North West Metro, Maribyrnong,"7,325","8,202.0", MARIBYRNONG,Maribyrnong
2020,December,1 North West Metro, Melbourne,"26,773","15,674.5", MELBOURNE,Melbourne
2020,December,1 North West Metro, Melton,"10,089","5,824.0", MELTON,Melton
2020,December,1 North West Metro, Merri-bek,"10,789","6,000.1", MERRI-BEK,Merri-bek
2020,December,1 North West Metro, Moonee Valley,"6,448","5,092.2", MOONEE VALLEY,Moonee Valley
2020,December,1 North West Metro, Nillumbik,"1,628","2,534.4", NILLUMBIK,Nillumbik
2020,December,1 North West Metro, Whittlesea,"12,131","5,258.4", WHITTLESEA,Whittlesea
2020,December,1 North West Metro, Wyndham,"13,196","4,601.2", WYNDHAM,Wyndham
2020,December,1 North West Metro, Yarra,"11,361","11,767.3", YARRA,Yarra
2020,December,1 North West Metro,Total,"154,446","6,872.3",TOTAL,Total
2020,December,2 Eastern, Alpine,413,"3,170.1", ALPINE,Alpine
2020,December,2 Eastern, Bass Coast,"2,044","5,258.7", BASS COAST,Bass Coast
2020,December,2 Eastern, Baw Baw,"3,678","6,609.5", BAW BAW,Baw Baw
2020,December,2 Eastern, Benalla,990,"6,895.1", BENALLA,Benalla
2020,December,2 Eastern, Boroondara,"6,238","3,510.0", BOROONDARA,Boroondara
2020,December,2 Eastern, East Gippsland,"3,670","7,679.4", EAST GIPPSLAND,East Gippsland
2020,December,2 Eastern, Greater Shepparton,"6,019","8,802.5", GREATER SHEPPARTON,Greater Shepparton
2020,December,2 Eastern, Indigo,443,"2,592.3", INDIGO,Indigo
2020,December,2 Eastern, Knox,"8,733","5,357.0", KNOX,Knox
2020,December,2 Eastern, Latrobe,"9,621","12,562.7", LATROBE,Latrobe
2020,December,2 Eastern, Manningham,"3,431","2,684.3", MANNINGHAM,Manningham
2020,December,2 Eastern, Mansfield,371,"3,796.6", MANSFIELD,Mansfield
2020,December,2 Eastern, Maroondah,"5,751","4,868.2", MAROONDAH,Maroondah
2020,December,2 Eastern, Mitchell,"3,211","6,691.8", MITCHELL,Mitchell
2020,December,2 Eastern, Moira,"1,595","5,273.8", MOIRA,Moira
2020,December,2 Eastern, Monash,"9,885","4,926.7", MONASH,Monash
2020,December,2 Eastern, Murrindindi,654,"4,404.9", MURRINDINDI,Murrindindi
2020,December,2 Eastern, South Gippsland,"1,253","4,146.0", SOUTH GIPPSLAND,South Gippsland
2020,December,2 Eastern, Strathbogie,480,"4,309.2", STRATHBOGIE,Strathbogie
2020,December,2 Eastern, Towong,157,"2,548.7", TOWONG,Towong
2020,December,2 Eastern, Wangaratta,"1,646","5,585.7", WANGARATTA,Wangaratta
2020,December,2 Eastern, Wellington,"3,321","7,375.2", WELLINGTON,Wellington
2020,December,2 Eastern, Whitehorse,"7,206","4,079.9", WHITEHORSE,Whitehorse
2020,December,2 Eastern, Wodonga,"2,579","6,055.7", WODONGA,Wodonga
2020,December,2 Eastern, Yarra Ranges,"6,332","3,991.0", YARRA RANGES,Yarra Ranges
2020,December,2 Eastern,Total,"89,721","5,210.8",TOTAL,Total
2020,December,3 Southern Metro, Bayside,"4,121","3,929.2", BAYSIDE,Bayside
2020,December,3 Southern Metro, Cardinia,"5,825","5,008.5", CARDINIA,Cardinia
2020,December,3 Southern Metro, Casey,"17,232","4,742.0", CASEY,Casey
2020,December,3 Southern Metro, Frankston,"10,794","7,602.3", FRANKSTON,Frankston
2020,December,3 Southern Metro, Glen Eira,"6,265","4,055.5", GLEN EIRA,Glen Eira
2020,December,3 Southern Metro, Greater Dandenong,"14,965","9,043.5", GREATER DANDENONG,Greater Dandenong
2020,December,3 Southern Metro, Kingston,"8,606","5,280.3", KINGSTON,Kingston
2020,December,3 Southern Metro, Mornington Peninsula,"8,101","4,767.7", MORNINGTON PENINSULA,Mornington Peninsula
2020,December,3 Southern Metro, Port Phillip,"10,260","9,286.7", PORT PHILLIP,Port Phillip
2020,December,3 Southern Metro, Stonnington,"9,045","8,038.3", STONNINGTON,Stonnington
2020,December,3 Southern Metro,Total,"95,214","5,941.9",TOTAL,Total
2020,December,4 Western, Ararat,"1,090","9,162.7", ARARAT,Ararat
2020,December,4 Western, Ballarat,"7,343","6,587.1", BALLARAT,Ballarat
2020,December,4 Western, Buloke,285,"4,637.2", BULOKE,Buloke
2020,December,4 Western, Campaspe,"2,493","6,506.3", CAMPASPE,Campaspe
2020,December,4 Western, Central Goldfields,808,"6,083.4", CENTRAL GOLDFIELDS,Central Goldfields
2020,December,4 Western, Colac-Otway,"1,359","6,111.2", COLAC-OTWAY,Colac-Otway
2020,December,4 Western, Corangamite,649,"4,034.8", CORANGAMITE,Corangamite
2020,December,4 Western, Gannawarra,680,"6,440.6", GANNAWARRA,Gannawarra
2020,December,4 Western, Glenelg,"1,080","5,393.0", GLENELG,Glenelg
2020,December,4 Western, Golden Plains,447,"1,837.8", GOLDEN PLAINS,Golden Plains
2020,December,4 Western, Greater Bendigo,"8,097","6,761.5", GREATER BENDIGO,Greater Bendigo
2020,December,4 Western, Greater Geelong,"16,545","6,230.6", GREATER GEELONG,Greater Geelong
2020,December,4 Western, Hepburn,562,"3,445.7", HEPBURN,Hepburn
2020,December,4 Western, Hindmarsh,311,"5,494.7", HINDMARSH,Hindmarsh
2020,December,4 Western, Horsham,"1,478","7,262.5", HORSHAM,Horsham
2020,December,4 Western, Loddon,391,"5,115.1", LODDON,Loddon
2020,December,4 Western, Macedon Ranges,"1,912","3,763.3", MACEDON RANGES,Macedon Ranges
2020,December,4 Western, Mildura,"4,651","8,123.0", MILDURA,Mildura
2020,December,4 Western, Moorabool,"2,045","5,544.7", MOORABOOL,Moorabool
2020,December,4 Western, Mount Alexander,762,"3,828.0", MOUNT ALEXANDER,Mount Alexander
