LGA,Region,Section of State,Year,Portion Bullied,"Rate per 100,000 population"
BALLARAT,Central Highlands,Regional Victoria,2011,26.7,"6,587.1"
BANYULE,Melbourne,Metropolitan Melbourne,2011,19.8,"4,637.2"
BASS COAST,Gippsland,Regional Victoria,2011,18.3,"6,506.3"
BAW BAW,Gippsland,Regional Victoria,2011,24.7,"6,083.4"
BAYSIDE,Melbourne,Metropolitan Melbourne,2011,17.3,"6,111.2"
BENALLA,Hume,Regional Victoria,2011,26,"4,034.8"
BOROONDARA,Melbourne,Metropolitan Melbourne,2011,16.3,"6,440.6"
BRIMBANK,Melbourne,Metropolitan Melbourne,2011,18.3,"5,393.0"
BULOKE,Loddon Mallee North,Regional Victoria,2011,15.1,"1,837.8"
CAMPASPE,Loddon Mallee North,Regional Victoria,2011,22,"6,761.5"
CARDINIA,Melbourne,Metropolitan Melbourne,2011,23.5,"6,230.6"
CASEY,Melbourne,Metropolitan Melbourne,2011,18.1,"3,445.7"
CENTRAL GOLDFIELDS,Loddon Mallee South,Regional Victoria,2011,30.8,"5,494.7"
COLAC OTWAY,G21,Regional Victoria,2011,28.9,"7,262.5"
CORANGAMITE,Great South Coast,Regional Victoria,2011,20.5,"5,115.1"
DAREBIN,Melbourne,Metropolitan Melbourne,2011,17.1,"3,763.3"
EAST GIPPSLAND,Gippsland,Regional Victoria,2011,27,"8,123.0"
FRANKSTON,Melbourne,Metropolitan Melbourne,2011,20.9,"5,544.7"
GANNAWARRA,Loddon Mallee North,Regional Victoria,2011,17.8,"3,828.0"
GLEN EIRA,Melbourne,Metropolitan Melbourne,2011,15.2,"3,117.7"
GLENELG,Great South Coast,Regional Victoria,2011,26.7,"7,075.6"
GREATER BENDIGO,Loddon Mallee South,Regional Victoria,2011,25.2,"4,927.0"
GREATER DANDENONG,Melbourne,Metropolitan Melbourne,2011,19.7,"3,237.3"
GREATER GEELONG,G21,Regional Victoria,2011,21.7,"5,018.5"
GREATER SHEPPARTON,Hume,Regional Victoria,2011,24.9,"3,347.5"
HEPBURN,Central Highlands,Regional Victoria,2011,22.6,"8,466.8"
HINDMARSH,Wimmera Southern Mallee,Regional Victoria,2011,13.1,"6,555.8"
HOBSONS BAY,Melbourne,Metropolitan Melbourne,2011,17.3,"3,284.9"
HORSHAM,Wimmera Southern Mallee,Regional Victoria,2011,23.9,"5,442.5"
HUME,Melbourne,Metropolitan Melbourne,2011,20.2,"5,947.8"
INDIGO,Hume,Regional Victoria,2011,19.1,
KINGSTON,Melbourne,Metropolitan Melbourne,2011,16.8,
KNOX,Melbourne,Metropolitan Melbourne,2011,22.9,
LATROBE,Gippsland,Regional Victoria,2011,24.5,
LODDON,Loddon Mallee South,Regional Victoria,2011,20.7,"5,398.6"
MACEDON RANGES,Loddon Mallee South,Regional Victoria,2011,26.6,"7,331.2"
MANNINGHAM,Melbourne,Metropolitan Melbourne,2011,18.8,"7,263.8"
MANSFIELD,Hume,Regional Victoria,2011,23.4,"5,222.2"
MARIBYRNONG,Melbourne,Metropolitan Melbourne,2011,18,"6,754.0"
MAROONDAH,Melbourne,Metropolitan Melbourne,2011,20.8,"7,724.5"
MELBOURNE,Melbourne,Metropolitan Melbourne,2011,12.7,"15,958.3"
MILDURA,Loddon Mallee North,Regional Victoria,2011,23.6,"5,491.4"
MITCHELL,Hume,Regional Victoria,2011,23.3,"6,051.8"
MOIRA,Hume,Regional Victoria,2011,17.6,"5,127.2"
MONASH,Melbourne,Metropolitan Melbourne,2011,16.8,"2,569.8"
MOONEE VALLEY,Melbourne,Metropolitan Melbourne,2011,17.8,"5,344.8"
MOORABOOL,Central Highlands,Regional Victoria,2011,28.9,"4,843.3"
MORELAND,Melbourne,Metropolitan Melbourne,2011,18.4,"11,479.5"
MORNINGTON PENINSULA,Melbourne,Metropolitan Melbourne,2011,23.5,"6,901.3"
MOUNT ALEXANDER,Loddon Mallee South,Regional Victoria,2011,22.3,"3,306.4"
MOYNE,Great South Coast,Regional Victoria,2011,9.7,"4,911.5"
MURRINDINDI,Hume,Regional Victoria,2011,15.7,"6,681.5"
NILLUMBIK,Melbourne,Metropolitan Melbourne,2011,18.9,"6,758.6"
NORTHERN GRAMPIANS,Wimmera Southern Mallee,Regional Victoria,2011,28.1,"3,440.3"
PORT PHILLIP,Melbourne,Metropolitan Melbourne,2011,10.1,"7,689.7"
PYRENEES,Central Highlands,Regional Victoria,2011,16.1,"9,377.6"
SOUTH GIPPSLAND,Gippsland,Regional Victoria,2011,19.4,"2,574.3"
SOUTHERN GRAMPIANS,Great South Coast,Regional Victoria,2011,5,"5,384.8"
STONNINGTON,Melbourne,Metropolitan Melbourne,2011,8.6,"13,284.9"
STRATHBOGIE,Hume,Regional Victoria,2011,23.1,"3,015.4"
SURF COAST,G21,Regional Victoria,2011,24.5,"3,350.4"
SWAN HILL,Loddon Mallee North,Regional Victoria,2011,23.6,"5,088.7"
TOWONG,Hume,Regional Victoria,2011,19.6,"6,780.7"
WANGARATTA,Hume,Regional Victoria,2011,19.8,"6,447.3"
WARRNAMBOOL,Great South Coast,Regional Victoria,2011,14.2,"4,543.3"
WELLINGTON,Gippsland,Regional Victoria,2011,23.9,"4,096.7"
WEST WIMMERA,Wimmera Southern Mallee,Regional Victoria,2011,25.3,"4,389.9"
WHITEHORSE,Melbourne,Metropolitan Melbourne,2011,15.5,"4,103.2"
WHITTLESEA,Melbourne,Metropolitan Melbourne,2011,22.3,"2,429.1"
WYNDHAM,Melbourne,Metropolitan Melbourne,2011,18.7,"5,992.6"
YARRA,Melbourne,Metropolitan Melbourne,2011,12.9,"7,337.5"
YARRA RANGES,Melbourne,Metropolitan Melbourne,2011,22.9,"4,136.3"
YARRIAMBIACK,Wimmera Southern Mallee,Regional Victoria,2011,13.4,"6,647.9"
ALPINE,Hume,Regional Victoria,2012,19.9,"3,885.0"
ARARAT,Central Highlands,Regional Victoria,2012,23.5,"5,281.3"
BALLARAT,Central Highlands,Regional Victoria,2012,22.1,"3,820.8"
BANYULE,Melbourne,Metropolitan Melbourne,2012,19.3,"4,699.7"
BASS COAST,Gippsland,Regional Victoria,2012,18.3,"4,731.4"
BAW BAW,Gippsland,Regional Victoria,2012,23.8,"7,780.3"
BAYSIDE,Melbourne,Metropolitan Melbourne,2012,17.4,"3,705.3"
BENALLA,Hume,Regional Victoria,2012,18.1,"8,839.7"
BOROONDARA,Melbourne,Metropolitan Melbourne,2012,14.8,"5,469.8"
BRIMBANK,Melbourne,Metropolitan Melbourne,2012,19.7,"5,140.9"
BULOKE,Loddon Mallee North,Regional Victoria,2012,16.1,"8,753.9"
CAMPASPE,Loddon Mallee North,Regional Victoria,2012,18.6,"7,961.2"
CARDINIA,Melbourne,Metropolitan Melbourne,2012,23.7,"5,905.9"
CASEY,Melbourne,Metropolitan Melbourne,2012,17.9,"7,215.4"
CENTRAL GOLDFIELDS,Loddon Mallee South,Regional Victoria,2012,31.7,"8,141.4"
COLAC OTWAY,G21,Regional Victoria,2012,28.7,"3,913.0"
CORANGAMITE,Great South Coast,Regional Victoria,2012,13.2,"7,662.0"
DAREBIN,Melbourne,Metropolitan Melbourne,2012,15.7,"6,690.2"
EAST GIPPSLAND,Gippsland,Regional Victoria,2012,28.3,"5,842.5"
FRANKSTON,Melbourne,Metropolitan Melbourne,2012,23,"3,237.6"
GANNAWARRA,Loddon Mallee North,Regional Victoria,2012,16.6,"5,972.1"
GLEN EIRA,Melbourne,Metropolitan Melbourne,2012,12.7,"5,408.1"
GLENELG,Great South Coast,Regional Victoria,2012,22.9,"2,039.7"
GREATER BENDIGO,Loddon Mallee South,Regional Victoria,2012,24.8,"7,147.0"
GREATER DANDENONG,Melbourne,Metropolitan Melbourne,2012,19.1,"6,346.9"
GREATER GEELONG,G21,Regional Victoria,2012,23.1,"4,501.9"
GREATER SHEPPARTON,Hume,Regional Victoria,2012,28.3,"4,044.5"
HEPBURN,Central Highlands,Regional Victoria,2012,14.4,"6,542.4"
HINDMARSH,Wimmera Southern Mallee,Regional Victoria,2012,14.5,"4,895.0"
HOBSONS BAY,Melbourne,Metropolitan Melbourne,2012,17.2,"3,481.2"
HORSHAM,Wimmera Southern Mallee,Regional Victoria,2012,26,"9,786.8"
HUME,Melbourne,Metropolitan Melbourne,2012,20.2,"4,464.5"
INDIGO,Hume,Regional Victoria,2012,24.8,"4,630.9"
KINGSTON,Melbourne,Metropolitan Melbourne,2012,14.5,"2,974.6"
KNOX,Melbourne,Metropolitan Melbourne,2012,21.5,"6,532.1"
LATROBE,Gippsland,Regional Victoria,2012,24.8,"5,525.7"
LODDON,Loddon Mallee South,Regional Victoria,2012,27.1,"3,537.7"
MACEDON RANGES,Loddon Mallee South,Regional Victoria,2012,27.2,"5,776.3"
MANNINGHAM,Melbourne,Metropolitan Melbourne,2012,19.3,"2,935.8"
MANSFIELD,Hume,Regional Victoria,2012,9,"8,753.0"
MARIBYRNONG,Melbourne,Metropolitan Melbourne,2012,18.4,"7,427.3"
MAROONDAH,Melbourne,Metropolitan Melbourne,2012,19.6,"3,296.4"
MELBOURNE,Melbourne,Metropolitan Melbourne,2012,13.3,"4,453.4"
MILDURA,Loddon Mallee North,Regional Victoria,2012,24.9,"6,272.8"
MITCHELL,Hume,Regional Victoria,2012,31.6,
