LGA,Year,Incidents Recorded,"Rate per 100,000 population"
 PYRENEES,2018,340,"4,644.8"
 QUEENSCLIFFE,2018,101,"3,422.6"
 SOUTHERN GRAMPIANS,2018,"1,111","6,826.0"
 SURF COAST,2018,878,"2,683.8"
 SWAN HILL,2018,"1,781","8,391.4"
 WARRNAMBOOL,2018,"2,907","8,355.6"
 WEST WIMMERA,2018,128,"3,230.7"
 YARRIAMBIACK,2018,335,"5,005.2"
TOTAL,2018,"61,811","6,177.9"
 JUSTICE INSTITUTIONS AND IMMIGRATION FACILITIES,2018,"1,496",
TOTAL,2018,"1,496",
 UNINCORPORATED VIC,2018,95,
TOTAL,2018,95,
 BANYULE,2017,"7,433","5,779.9"
 BRIMBANK,2017,"13,245","6,428.5"
 DAREBIN,2017,"11,444","7,314.2"
 HOBSONS BAY,2017,"4,908","5,193.5"
 HUME,2017,"15,048","6,962.3"
 MARIBYRNONG,2017,"6,465","7,339.7"
 MELBOURNE,2017,"26,537","17,010.9"
 MELTON,2017,"8,047","5,414.5"
 MERRI-BEK,2017,"10,518","6,008.9"
 MOONEE VALLEY,2017,"6,668","5,365.9"
 NILLUMBIK,2017,"1,845","2,865.5"
 WHITTLESEA,2017,"11,342","5,292.0"
 WYNDHAM,2017,"10,854","4,495.6"
 YARRA,2017,"10,561","11,179.8"
TOTAL,2017,"144,915","6,873.4"
 ALPINE,2017,310,"2,445.0"
 BASS COAST,2017,"1,936","5,575.1"
 BAW BAW,2017,"2,766","5,439.3"
 BENALLA,2017,975,"6,943.9"
 BOROONDARA,2017,"5,741","3,214.6"
 EAST GIPPSLAND,2017,"2,971","6,431.8"
 GREATER SHEPPARTON,2017,"5,939","9,009.0"
 INDIGO,2017,377,"2,301.2"
 KNOX,2017,"8,431","5,222.0"
 LATROBE,2017,"9,282","12,368.1"
 MANNINGHAM,2017,"3,699","2,981.4"
 MANSFIELD,2017,494,"5,556.2"
 MAROONDAH,2017,"6,300","5,423.0"
 MITCHELL,2017,"3,059","7,110.5"
 MOIRA,2017,"1,449","4,879.0"
 MONASH,2017,"8,175","4,179.2"
 MURRINDINDI,2017,546,"3,823.0"
 SOUTH GIPPSLAND,2017,"1,004","3,421.2"
 STRATHBOGIE,2017,438,"4,160.7"
 TOWONG,2017,174,"2,871.3"
 WANGARATTA,2017,"1,780","6,151.5"
 WELLINGTON,2017,"2,722","6,207.7"
 WHITEHORSE,2017,"6,512","3,779.1"
 WODONGA,2017,"2,423","5,936.8"
 YARRA RANGES,2017,"5,719","3,651.5"
TOTAL,2017,"83,222","4,965.2"
 BAYSIDE,2017,"3,830","3,696.2"
 CARDINIA,2017,"4,350","4,256.2"
 CASEY,2017,"15,064","4,638.3"
 FRANKSTON,2017,"10,701","7,614.5"
 GLEN EIRA,2017,"5,349","3,550.7"
 GREATER DANDENONG,2017,"13,665","8,390.4"
 KINGSTON,2017,"7,696","4,807.9"
 MORNINGTON PENINSULA,2017,"8,463","5,157.1"
 PORT PHILLIP,2017,"9,669","8,831.1"
 STONNINGTON,2017,"7,894","7,041.8"
TOTAL,2017,"86,681","5,663.9"
